2023-04-29 11:46:28,162 p=1390 u=ubuntu n=ansible | PLAY [Generate artifact, copy artifact & sql file to files directory] **********
2023-04-29 11:46:28,180 p=1390 u=ubuntu n=ansible | TASK [Gathering Facts] *********************************************************
2023-04-29 11:46:29,439 p=1390 u=ubuntu n=ansible | ok: [localhost]
2023-04-29 11:46:29,455 p=1390 u=ubuntu n=ansible | TASK [Install jdk, maven, git] *************************************************
2023-04-29 11:46:38,582 p=1390 u=ubuntu n=ansible | ok: [localhost] => (item=git)
2023-04-29 11:47:15,094 p=1390 u=ubuntu n=ansible | changed: [localhost] => (item=openjdk-8-jdk)
2023-04-29 11:47:26,463 p=1390 u=ubuntu n=ansible | changed: [localhost] => (item=maven)
2023-04-29 11:47:26,477 p=1390 u=ubuntu n=ansible | TASK [Clone source code from github] *******************************************
2023-04-29 11:47:30,787 p=1390 u=ubuntu n=ansible | changed: [localhost]
2023-04-29 11:47:30,799 p=1390 u=ubuntu n=ansible | TASK [mvn install command to build artifact] ***********************************
2023-04-29 11:48:09,656 p=1390 u=ubuntu n=ansible | changed: [localhost]
2023-04-29 11:48:09,713 p=1390 u=ubuntu n=ansible | TASK [Copy artifacts to files directory] ***************************************
2023-04-29 11:48:11,237 p=1390 u=ubuntu n=ansible | changed: [localhost] => (item=/home/ubuntu/ansible-aws-vpc/provision-stack/Vprofile-repo/target/vprofile-v2.war)
2023-04-29 11:48:11,249 p=1390 u=ubuntu n=ansible | TASK [Copy SQL file to files directory] ****************************************
2023-04-29 11:48:11,697 p=1390 u=ubuntu n=ansible | changed: [localhost]
2023-04-29 11:48:11,712 p=1390 u=ubuntu n=ansible | PLAY RECAP *********************************************************************
2023-04-29 11:48:11,713 p=1390 u=ubuntu n=ansible | localhost                  : ok=6    changed=5    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-04-29 12:01:21,281 p=6164 u=ubuntu n=ansible | PLAY [Set host to ip mapping in /etc/hosts file of all instances in the stack] ***
2023-04-29 12:01:21,304 p=6164 u=ubuntu n=ansible | TASK [Gathering Facts] *********************************************************
2023-04-29 12:01:23,068 p=6164 u=ubuntu n=ansible | ok: [web01]
2023-04-29 12:01:23,357 p=6164 u=ubuntu n=ansible | ok: [cntl]
2023-04-29 12:01:23,609 p=6164 u=ubuntu n=ansible | ok: [app01]
2023-04-29 12:01:23,717 p=6164 u=ubuntu n=ansible | ok: [rmq01]
2023-04-29 12:01:23,783 p=6164 u=ubuntu n=ansible | ok: [mc01]
2023-04-29 12:01:25,230 p=6164 u=ubuntu n=ansible | ok: [db01]
2023-04-29 12:01:25,247 p=6164 u=ubuntu n=ansible | TASK [Import VPC setup variable] ***********************************************
2023-04-29 12:01:25,297 p=6164 u=ubuntu n=ansible | ok: [cntl]
2023-04-29 12:01:25,314 p=6164 u=ubuntu n=ansible | ok: [web01]
